;Nome PG;Origine;Categoria;Categoria Focus;Motivazione
OK;Kieran;Ex capitano della guardia cittadina;In Fuga;Traditore del regno;"Ha tradito il suo signore, ora è braccato dai suoi ex compagni."
OK;Lysara la Veggente;Oracolo di una città in rovina;Terrore;Visioni dell'apocalisse;"Ha avuto visioni di un entità cosmica che avrebbe divorato il suo regno, nessuno le credeva nonostante continuasse a vedere i segni della profezia."
OK;Jorik l’Inquisitore;Ex studioso della magia proibita;Ossessione;Recuperare Artefatti Netheresi;"Vuole a tutti i costi mettere le mani sugli antichi artefatti netheresi, ma è stato bandito dalle rovine di Netheril."
OK;Kaelion;Paladino decaduto;Ossessione;Dalla redenzione;Per colpa sua sono morti centinaia di innocenti
OK;Varn;Arcanista Espulso;Ossessione;Pratiche illecite;"è stato bandito dagli ordini dei maghi per la su immoralità, cerca un nuovo inizio"
OK;Gronk Testabruciat;Gladiatore di un’arena extraplanare;Ossessione;Artefatto perduto;Sente una chiamata nella mente: una spada leggendaria lo attende da qualche parte in quel mondo.
;;;;;
Bell'idea ma ad ora non funziona;Nyx l’Ombra;Ladra e spia in fuga;"Scappa, Cerca";Ha rubato un artefatto maledetto;"All'inizio pensava fosse una bacchetta, ma in realtà era il dito di Vecna, e la divinità cercava di manipolare il PG."
Bell'idea ma ad ora non funziona;Syra;Cacciatrice di Tesori;Terrore;Ha rubato un oggetto maledetto;L'unico modo che ha per liberarsi è fare X
Bell'idea ma ad ora non funziona;Elira;Ladra Redenta;Cerca;;Sorella scomparsa
Bell'idea ma ad ora non funziona;Kael Bracciorosso;Chierico di Pelor;Scappa;Abbandonato nell'Avernus;Tradito dai suoi compagni di party
Bell'idea ma ad ora non funziona;Miriel Silversong;Ladra elfa del Sottosuolo;Cerca;Parente scomparso;"Ha intravisto in una visione il fratello, imprigionato da qualche parte"
